Hub-Height=100  Timezone=0   ASL-Height(avg. 3km-grid)=0 

 
YYYYMMDD HHMM  M(m/s) D(deg)  T(C)  De(k/m3) PRE(hPa)      RiNumber  RH(%)
20180601 0000    2.0    133   15.0    1.22    1005.7           2.11   88.8
20180601 0100    1.2    127   14.6    1.22    1005.7           6.63   90.4
20180601 0200    1.0    114   14.3    1.22    1005.7          12.81   91.5
20180601 0300    1.2    110   14.0    1.22    1005.7          10.30   92.5
20180601 0400    1.9    108   13.5    1.22    1005.7          11.12   95.1
20180601 0500    2.3    106   13.0    1.23    1005.7          11.06   97.4
20180601 0600    2.6     99   12.7    1.23    1005.7          19.53   99.1
20180601 0700    2.8     91   12.5    1.23    1006.0          13.08   99.9
20180601 0800    3.1     84   12.3    1.23    1006.2          41.26  100.0
20180601 0900    3.5     80   12.3    1.23    1006.3          44.65  100.0
20180601 1000    3.7     79   12.5    1.23    1006.4          13.00  100.0
20180601 1100    4.2     82   12.9    1.23    1006.4          14.83   99.5
20180601 1200    5.0     86   13.2    1.22    1006.5          40.99   98.1
20180601 1300    5.8     88   13.6    1.22    1006.2          12.12   95.8
20180601 1400    6.4     89   13.8    1.22    1006.0           4.87   93.8
20180601 1500    6.8     92   14.0    1.22    1005.7           3.40   92.1
20180601 1600    6.7     97   14.3    1.22    1005.5           3.18   90.5
20180601 1700    6.4     99   14.7    1.22    1005.3           2.05   88.4
20180601 1800    6.1    100   15.4    1.21    1005.1           1.26   86.0
20180601 1900    6.1    104   16.0    1.21    1004.9           1.10   85.2
20180601 2000    5.5    111   17.0    1.21    1004.7           1.22   85.7
20180601 2100    4.4    124   17.9    1.20    1004.6           1.07   86.9
20180601 2200    2.0    161   17.8    1.20    1004.6           0.38   89.5
20180601 2300    0.9    232   17.1    1.21    1004.7           0.29   92.8
20180602 0000    0.9    127   16.0    1.21    1004.9           1.51   95.0
20180602 0100    0.3    237   15.6    1.21    1004.9           9.14   97.1
20180602 0200    0.8    257   15.3    1.21    1004.9          14.15   98.7
20180602 0300    1.5    255   14.8    1.22    1005.0          32.61  100.0
20180602 0400    1.7    271   14.1    1.22    1005.1          27.48  100.0
20180602 0500    1.4    293   13.6    1.22    1005.2           6.50  100.0
20180602 0600    1.1    328   13.2    1.22    1005.2           7.31  100.0
20180602 0700    1.2     13   13.0    1.22    1005.5          40.83  100.0
20180602 0800    2.0     38   12.8    1.23    1005.6          40.87  100.0
20180602 0900    2.5     44   12.7    1.23    1005.8         379.68  100.0
20180602 1000    2.9     58   12.7    1.23    1005.8          24.23  100.0
20180602 1100    3.6     69   12.6    1.23    1005.9           5.63  100.0
20180602 1200    4.1     76   12.7    1.23    1006.0           3.61   99.8
20180602 1300    4.6     81   12.7    1.23    1005.8           3.98   99.3
20180602 1400    5.0     84   12.7    1.23    1005.8           5.13   99.0
20180602 1500    5.6     86   12.6    1.23    1005.7           6.95   98.6
20180602 1600    6.3     88   12.5    1.23    1005.6           8.32   97.0
20180602 1700    6.4     91   12.4    1.23    1005.6          12.22   95.5
20180602 1800    5.5     89   12.1    1.23    1005.7          46.61   96.8
20180602 1900    4.5     86   12.1    1.23    1006.0          47.04   96.9
20180602 2000    3.7     86   12.4    1.23    1006.1          19.89   95.9
20180602 2100    2.7     88   12.1    1.23    1006.2          42.84   97.5
20180602 2200    1.6     87   11.9    1.23    1006.3          22.31   99.0
20180602 2300    0.8     89   12.1    1.23    1006.4          44.99   97.5
20180603 0000    0.6     99   13.3    1.22    1006.3           3.91  100.0
20180603 0100    0.3    210   13.2    1.22    1006.4           6.98  100.0
20180603 0200    1.0    256   13.1    1.23    1006.5           7.89  100.0
20180603 0300    1.7    262   13.0    1.23    1006.5           4.32  100.0
20180603 0400    2.6    277   12.9    1.23    1006.6           0.39  100.0
20180603 0500    3.3    327   12.5    1.23    1006.7           0.32  100.0
20180603 0600    3.4    339   11.8    1.23    1006.9           3.63  100.0
20180603 0700    3.5    346   11.8    1.23    1007.2          17.89  100.0
20180603 0800    3.8    353   11.8    1.23    1007.5          82.22  100.0
20180603 0900    3.8      4   12.0    1.23    1007.7          31.69  100.0
20180603 1000    3.5     16   12.2    1.23    1007.8          60.91   98.9
20180603 1100    3.4     25   12.2    1.23    1008.0        9246.28   97.2
20180603 1200    3.4     30   12.3    1.23    1008.2          15.15   96.1
20180603 1300    3.6     32   12.3    1.23    1008.1           3.77   96.3
20180603 1400    3.8     31   12.4    1.23    1007.9           2.19   96.6
20180603 1500    3.8     30   12.6    1.23    1007.8           1.78   96.5
20180603 1600    3.8     27   12.7    1.23    1007.7           1.42   97.3
20180603 1700    4.1     23   12.5    1.23    1007.6           0.92   99.0
20180603 1800    4.4     20   12.4    1.23    1007.5           0.62  100.0
